sentence,pred,label,loss
"for adventurous travelers looking for an introduction to the south, the rewards are rich.",new,south,6.827518463134766
it covers most but not all close senate and gubernatorial races.),.,.,0.8711751699447632
the component may also be a contractor.,a,be,7.180902481079102
the point is not that investing in foreign companies is necessarily a mistake.,is,is,0.1828460842370987
"currently oasi and di make payments to that account, and hi receives payment.",available,payment,5.7150373458862305
a plausible increase in the penetration of computer ownership by households over the course of a single year.,of,of,0.24475771188735962
"but the explanation is institutional, not ideological.",he,but,7.242595672607422
you and tuppence have been sticking together like siamese twins.,the,##ppe,12.621747970581055
participants generally agreed that improvements in corporate governance will bring about improvements in auditing.,and,in,4.702789306640625
authorizing and approving ,app,app,0.006982212886214256
ever see a contemplative power ranger?,what,con,6.571793556213379
"every tube contained a body, and every body was a famous figure from history.",and,from,6.2861528396606445
"the great kanto earthquake of 1923 destroyed some 60,000 homes in yokohama and took over 20,000 lives.",##s,earthquake,12.079672813415527
oh was that good i heard oh okay,.,oh,16.604875564575195
"the only adult males allowed in the harem were the black eunuchs, who were in charge of security and administration.",mid,the,3.4606308937072754
"due to the amount of information now available, power has shifted from the physician to the patient.",.,from,15.6659517288208
i know i am um i do not know anybody in their right mind that says that that i'm doing it because i want to i,##ful,that,7.516256809234619
"is not that america's last bastion of mobsters, racists, and hacks?",',##sters,22.80040168762207
"let me try it."" she began snapping her fingers and saying the word eagerly, but nothing happened.",-,it,11.120333671569824
"there is also an archaeological museum that displays older relics, including examples of mycenaean pottery.",.,examples,15.046854972839355
research over the last 20 years has changed the scientific view of life.,.,has,8.172690391540527
perhaps he should clear out even farther and head for california.,.,california,20.65654945373535
"for the moment, he sought refuge in retreat, and left the room precipitately. ",',the,8.880802154541016
in june you can watch dealers haggling over heaps of white silkworm cocoons.,the,over,10.31980037689209
"the results looked like versace melded with blade runner , says newsweek 's steven levy.",',says,16.869983673095703
he waited for the group on the nearby 18 th green to finish.,to,18,12.460077285766602
no not near as much as i'd like to i mean i've i tend to stay pretty busy at my job and uh,the,pretty,14.336176872253418
we have a problem concerning gift etiquette.,cl,gift,10.666801452636719
the inglethorps did not appear. ,##ham,##hor,6.961622714996338
equivalent to increasing national saving to 19.,the,national,10.552238464355469
you're mad.,.,mad,12.788558006286621
"inside, a huge mountain of a man, even bigger than thorn, fought with a huge two-handed axe.",and,than,13.863372802734375
jon had only seen two people move that fast in his life,no,seen,14.196237564086914
we developed technical assistance funds for creative planning projects and obtained a $15.,.,15,18.873207092285156
"i have done my best to target unpopulated areas at unpopulated times, but the guilt still weights heavy on my soul.'",.,areas,14.814330101013184
thurmond announced a few weeks ago that he will not run again.,he,he,1.5880271196365356
auditors will need to exercise professional judgment in assessing the significance of audit results or findings.,',professional,7.461966514587402
where's tommy? ,',',0.03694233298301697
the lot upon which it is being built had been vacant.,the,the,0.41542133688926697
"or he has not really thought it through, which itself would cast doubt on the depth of his faith.",he,or,6.765679836273193
network externalities are in.,the,network,13.443355560302734
we could use their assistance should it be needed.,too,needed,5.935988426208496
not a pleasant prospect and not one easily avoided---not even by any reform package or proposal that i've seen.,.,proposal,14.089576721191406
the result was the four raphael rooms (stanze di raffaello).,mart,##fa,11.025022506713867
grand row! ,death,grand,11.179408073425293
"pointe pitre's cathedral, the basilique saint-pierre et saint-paul, features unusual metal columns and balconies.",.,##re,9.651485443115234
"had that piquant gipsy face been at the bottom of the crime, or was it 73 the baser mainspring of money? ",said,##psy,17.700136184692383
uh no i did not,##hh,no,9.370302200317383
we drive sixty five oh yes well,",",sixty,7.1965813636779785
major tourist shops have forms and details.,.,major,9.598773956298828
randy's tough love wrap-up,story,wrap,11.8355712890625
yeah i'm in north carolina,that,in,8.233729362487793
"he was watching muller as if the sergeant, rather than his men, was the focal point of any future attack.",.,he,2.6693098545074463
"i could feel gazes on my back; people peering out from between curtains, stealing glimpses through letterboxes.",.,through,8.905677795410156
good.' natalia glared.,no,.,4.663791179656982
sophisticated research is required to tease apart the complex interactions between these variables.,and,these,12.180201530456543
what about me?,me,me,2.0500893592834473
they use the the injection thing or whatever it is,to,thing,14.466781616210938
" he was here less than two days and already he thought of this town as home, something he wished to protect.",he,already,13.819278717041016
" ""all whose true names they could find, that is,"" garm amended.",the,true,10.936278343200684
"had they any clue, or 103 would the whole thing remain in the category of undiscovered crimes? ",the,und,8.860932350158691
"a few schools, including harvard, new york and georgetown universities, already have them.",among,already,11.324337005615234
the point is not that polls are dishonest.,the,the,1.8941620588302612
but uh what's that,it,uh,14.828612327575684
"he was writing a warning, not a prescription.",.,a,7.894712448120117
stop blaming john.,",",blaming,8.325263023376465
kashmir remained an unresolved problem of partition.,state,problem,7.518701553344727
"all the discoveries have been made by japp, and japp will take all the credit. ",',the,6.960623264312744
you outwitted me.,##wi,##wi,0.01138287503272295
yeah but that's that's true just about every,and,yeah,10.940814971923828
he was lecherous and strange.,.,##ous,15.943521499633789
this brought forth a small number of articulate dissensions.,put,this,8.383774757385254
oh yeah no that's uh that's a that's a real interesting movie and it's got a good historical perspective to it,.,a,6.709435939788818
your guess is as good as mine.,.,your,6.810672760009766
someone was applauding.,app,app,6.031808152329177e-05
you know used to play it a lot when i was in school but  now that i'm married and stuff i,wasn,i,3.7196085453033447
table 7-1 shows a summary of resource demand and its effect on current supply.,1,7,5.506407737731934
"yes, continued whittington.","""",",",2.2115447521209717
"unless otherwise noted, hotels take all major credit cards.",",",take,10.501221656799316
"of course, there is always the chance that the company's management has simply gone mad.",in,is,9.631271362304688
the rest of the industry is waiting to see how much control the government demands over recovered keys.,he,the,2.6675190925598145
the mosque is unusual in cairo in that it has no facade it is hidden behind a protective wall with nineteen openings.,he,the,2.0958406925201416
"warn't no apaches, that's for certain.",",",t,13.550191879272461
the commission prepared a final regulatory flexibility analysis pursuant to section 604.,',commission,14.941995620727539
should the intervention include the family?,the,the,1.1064388751983643
"it's now a school, the colegio de santo domingo.",vol,santo,14.103055953979492
i think then that's a step away from even duty i do not think they even have a sense of the responsibility,',s,6.701944351196289
"it was a smaller room than the one downstairs, and there was something peculiarly airless about the atmosphere of it.",speak,it,7.281057357788086
"he held out a hand to the salamander, petted it to a gentle glow and put it back over dave's chest.",there,a,7.710361957550049
"its principal scandal reporter, ambrose evans-pritchard, has published lots of stories on the suicide.",##ard,##ard,0.13373690843582153
"i never like to leave canada, because i'm disappointed every time.",.,because,15.482128143310547
"in her soft grey frock, with white ruffles at the wrists falling over her slender hands, she looked very beautiful. ",.,over,11.870747566223145
"at the sight of tommy, julius's eyes seemed as though they would pop out of his head.",',",",4.780489921569824
"seemed that whoever the killer was, she'd let him into her home voluntarily.",she,she,0.7782104015350342
and even the painter could not give me a good estimate he said well i'll be done this afternoon you know,',could,5.19169282913208
there's a pile of money called the social security trust fund.,was,a,6.1092634201049805
"dave hanson, to whom nothing is impossible, he said.",to,hanson,18.690444946289062
"if moynihan has anything to do with it, al gore will not get bill clinton's.",',has,10.330205917358398
"still, miyajima manages to be both solemn and lively.",seems,manages,7.815976142883301
expressed about the methodology and results of the procedures to determine the federal pay gap.,make,determine,3.9105613231658936
"tomb 57, that of khaemhat, was decorated with statues of himself and his family very rare for tombs of his class.",the,himself,8.25102424621582
thank you. tuppence felt a terrific rise in her spirits.,hu,thank,13.52835464477539
the place was a living tomb… .,.,the,4.623202323913574
"he hired a room, and i hired one too.",but,and,1.8039137125015259
the dramatically rising cliff of black basalt stone made the castle impregnable to all but the most wily commander.,##te,to,12.769054412841797
somehow i hoped that as a people we could be better than than um expecting,.,than,15.596078872680664
he gasped for air and his head throbbed.,the,for,9.934208869934082
yeah i i think you really have to be disciplined,',think,11.080960273742676
oh okay i'll let you go,',',0.002372428774833679
"authentic jamaican cuisine (including jerk chicken, pork, and fish), or choose your own lobster.",",",(,3.9655120372772217
up to a forty four magnum any any of them in the correct hands they're an absolutely fantastic weapon,:,absolutely,7.3008713722229
i i seems like it was on a friday friday or saturday,##cl,friday,14.933475494384766
i beg your pardon. a man's voice beside her made her start and turn.,',your,8.869149208068848
i am not keeping back facts. ,the,not,3.973951578140259
around him stood the remainder of the sticks.,to,the,4.8007283210754395
he scanned the great lawyer eagerly.,room,great,11.589542388916016
cdc centers for disease control and prevention cert/cc certa coordination center,of,##rt,9.02102279663086
it was at that moment that the full realization of his folly began to come home to tommy.,sc,it,4.17037296295166
the next witness was mary cavendish. ,to,next,13.41613483428955
and you got to have your cranberry sauce now i like jellied kind,',##an,12.054015159606934
it was dead quiet.,it,it,0.8093788623809814
no um my husband has a grandmother in a nursing home and that has been a real mess to say the least,.,home,19.517732620239258
but uh because i work for uh hal ammon,.,am,20.101552963256836
yeah the current average or whatever,"""",yeah,10.479711532592773
"she had decided not to ask if sir james was ""at home,"" but to adopt a more personal attitude.",.,adopt,25.058528900146484
nor was a common start or end point identified for design review as an element of the facility acquisition process.,in,for,9.485366821289062
"dublin is an intimate city, physically small but tightly packed, a perfect place for walking.",-,an,8.608524322509766
you will be able to buy it at the giftshop adjacent to the ship on your visit.,",",it,12.046571731567383
the others followed.,others,others,1.9790818691253662
u.s. economic interests through the prevention and mitigation ofmarine incidents.,##ten,incidents,16.743776321411133
it could be very confusing.,bo,it,5.059910774230957
room 5 holds objects from the final phase of minoan civilization (1450-1400 b.c.).,##n,.,5.847774028778076
"the magazine's humor often depended on racist and sexist stereotypes, such as wide-grinned, watermelon-eating blacks.",anti,wide,8.895506858825684
"but, says lindburg, 'if you protect the panda, you're protecting the golden monkey, the monal pheasants, the takins.",',",",4.465549468994141
it was refurbished in the victorian era but rendered useless by succeeding nile dams.,.,it,8.528077125549316
so what do you think about it,like,about,4.887302398681641
yeah well i think they got i think that was almost everyone of them that he recruited uh recruited for this year,everyone,everyone,1.1703767776489258
as a matter of fact he is.,course,fact,6.990358352661133
"here, where you should click the fifa online link, which you'll find on the left (under the basics).",.,should,7.271883010864258
she had come to know betty currie very well.,.,currie,25.277952194213867
why come here? the torrent has started already and many other southern villages surely draw the interest of bandits.,were,started,13.92013168334961
it took the advent of jetliners and cruise ships for that to happen.,and,and,1.8773791790008545
uh malaysia four years in malaysia and three years in the philippines,',four,10.005908966064453
by these criteria kinsey fares well.,as,criteria,13.168222427368164
"after years of neglect it was restored, beginning in the mid-1970s, and opened to the public in 1984.",had,and,4.0624284744262695
"the inner courtyard, the nasal chowk, is one of the few that can be visited.",.,can,8.851704597473145
"we established the program because we were concerned about the changeover, wheeler said.",the,the,0.46601471304893494
sir james peel edgerton said you would be able to manage that for me.,.,edge,13.98596477508545
"' there were even days when i would wake up and think, 'please god, let me die.",chances,',6.758817672729492
so the reverse hypothesis could be just as valid.,as,as,0.23380769789218903
"sewage was thrown into the streets from upstairs windows, accompanied by shouts of  gardeyloo!  ",',accompanied,13.187178611755371
"at first this resulted in an independent kingdom of mallorca, under jaume ii, followed by sanc and jaume iii.",.,ii,11.985836029052734
you and tuppence have been sticking together like siamese twins.,and,sticking,17.005998611450195
you mean it's that at a like a stranger a total stranger,',',0.34683957695961
western spruce budworm in the carson national,grand,the,4.154142379760742
we have the advantage tonight.,party,advantage,8.723125457763672
his next two shots landed in the chests of two riders carrying long bladed sticks.,##ue,bladed,14.997869491577148
um i have not kept up with uh the texas politics other than that dirty little uh governor fight,',have,12.981846809387207
"financial  examination of irs' fiscal year 1995 financial statements (gao/aimd-96-101, july 11, 1996)",),-,3.6887354850769043
uh let me ask you something did you get a catalog or something from these people yet,like,from,3.7383971214294434
we'll handle this.',can,we,4.489286422729492
"great billowing streaks of flame, snaking to heaven and coiling up the sky.",##ow,##owing,3.0812673568725586
tv is the most important medium for conveying history.,',##ing,10.947944641113281
"it is especially renowned as the last center of training for the city's most celebrated residents, the geisha.",sake,residents,8.559921264648438
"israelis are delighted that people from everywhere visit their country, and welcome you with genuine warmth.",',you,7.633670330047607
adrin said nothing and gabriel continued.,##ores,##rin,9.93714714050293
yeah i do that too,",",i,7.724724292755127
trade publishers sold 5 percent fewer books than they did the year before.,.,fewer,14.051216125488281
oh yeah that yeah they they just run all over the place do not they,",",that,7.245617389678955
i could.,.,could,12.599878311157227
my beloved sox beat the indians.,.,the,15.928140640258789
"i do, dave hanson.",dave,i,1.5068525075912476
"after relying exclusively on overseas trade, venice created a new land-owning aristocracy through this expansion.",of,on,8.867955207824707
he's a freakish peter pan--the juvenile delinquent who would not grow up.,.,he,5.911800861358643
but too often downsizing means what it has in the union pacific  fewer people doing more work.,to,downs,14.086270332336426
"however, wtp is generally considered to be a more readily measurable and conservative measure of benefits.",however,however,1.2311556339263916
"but if the chinese did try to buy favor with the democrats, it may have been because they already owned the republicans.",and,it,7.659453868865967
the corrida always starts on time even if the clock occasionally has to be stopped.,.,be,16.34002685546875
"instead, intel makes real things.",many,makes,11.578577041625977
because mademoiselle cynthia does not take sugar in her coffee.,not,not,0.14556917548179626
"it is wild and windswept, and its limited vegetation a far cry from the lush green interior.",not,",",4.752157688140869
"before 1980, federal law prohibited interest to be generated on checking accounts maintained by federally insured banks.",to,interest,9.282828330993652
they can even sit next to the driver.,to,even,11.832915306091309
so you do not really feel like you're really working that hard do you when you're in the water,and,when,10.410412788391113
"jon, still looking through adrin's eyes, saw a wicked sharp blade burst through the kal's chest.",he,jon,13.284998893737793
"several recently refurbished rooms display over 1,700 objects found at the tomb of tutankhamun by howard ceter in 1922.",',tu,17.732805252075195
"it is 'up to them' ”as you say over here."" then, suddenly, he asked: ""are you a judge of finger-marks, my friend?""",is,over,5.744157314300537
"so-called houston! this one problem, denise, or maybe dennis, was repeating.",##cl,dennis,17.21198272705078
i hoped and prayed it would not occur to john also. ,would,would,1.3350187540054321
okay i uh i have five children all together,",",five,4.758858680725098
but do not let that discourage you.,not,that,6.241996765136719
"but as mir floated in orbit, the soviet union fell apart.",they,mir,12.12527847290039
"thus, on close scrutiny, the zapruder film's ultimate revelation is that abraham zapruder was himself a conspirator.",##za,was,12.940403938293457
"anyway, there's no way to identify the owner or owners ""anse picked up the three musketeers .",mu,to,2.977473258972168
"4 million, which will be divvied up nationwide.",.,up,15.526695251464844
yeah because everybody else is growing,.,everybody,23.065732955932617
i've had a chance to i had a chance to terminate and uh l o a and back to l o a,no,',6.262088298797607
no i'm not in cape cod i'm uh oh about a you know five minute ride from rhode island,the,from,8.984487533569336
"that you value your origins, that you cradle old stories and remember old morals.",his,old,7.823991775512695
then he has to fudge his faith so that people who do not share it will not take it seriously.,it,then,9.419788360595703
strike a match to see the effect.,.,to,5.725830078125
"'exactly,' he nodded.",hi,',4.513367652893066
"as an example of urgent pro bono need, dean glen cited the civil court of new york, the nation's busiest.",.,urgent,12.053302764892578
"julius, said tuppence firmly, ""stop walking up and down.",",",up,3.9665205478668213
"gaaaaandhi, gone gone gone.",',",",6.259373664855957
"for that, they'll need to sign certain contracts.'",means,",",4.6435370445251465
sometimes the people who represent themselves do not even know the significant facts of their case.,cannot,who,4.932590484619141
using lower cut points for females may maximize screening test performance.,to,cut,12.136103630065918
ca'daan felt his heart jump.,##ache,jump,9.270132064819336
we have examples of these in the giant outer planets.,sc,we,4.4329423904418945
okay uh are you in the market for a new car,thank,okay,10.42297649383545
white nodded.,horse,nodded,8.931537628173828
um me i'm a firm believer in that if you got it spend it,of,you,9.266414642333984
"not all falsehoods, of course, are lies (the key ingredient in a lie is intentionality).",-,key,15.725468635559082
they were pushing the pace all right.,same,pace,12.058820724487305
"i had a slew of comfortable rooms with cushions everywhere, and a fridge forever stocked with fatty foods.",of,of,0.0767887681722641
net personal savings,see,net,10.261032104492188
"1.7, formerly methodology transfer paper 7.",.,7,16.58563232421875
mangrove trees and shrubs grow on coastal marshland in the brackish zone between the sea and fresh water.,and,grow,12.194043159484863
edinburgh zoo has a penguin parade every day during the summer.,to,day,8.443885803222656
"his problem, he said, is the current hiring freeze imposed on all city agencies.",of,on,4.01933479309082
but a closer analysis of the weather map suggests mother nature actually favors the democrats this year.,.,year,17.28321647644043
" elsewhere, great events were changing the shape of the world.",',were,4.992504596710205
shenzhen was china's first special economic zone.,',china,12.764647483825684
what missions or functions is the acquisition to support?,.,what,10.287721633911133
he might have stowed them there in a hurry.,',st,8.156986236572266
oh the potato they were they're delicious but they you do not get seem to get that much for the space they they do,',for,6.690942287445068
seven thousand troops under sir ralph abercromby landed east of san juan and blockaded the city.,the,seven,7.15131950378418
the amount recorded by both entities is the transferring entity's book value of the asset.,.,recorded,10.299395561218262
"alternatively, he could have used his address to the christian coalition last friday to criticize religious intolerance.",##ize,religious,13.727113723754883
the duddon valley and the rolling hillsides around the village of ulpha were much favored by wordsworth.,.,##s,6.618084907531738
but there are different kinds of fishing.,##s,fishing,13.236157417297363
buy soon or you may miss the chance.,have,miss,5.332857131958008
"white looked up at me, quite slowly.",showed,looked,4.3357648849487305
"an experienced diver may prefer moving onto the sinai, where the diving is even better.",and,diver,15.255388259887695
"msnbc, usa today, and yahoo!",ms,yahoo,12.242727279663086
you know kids,have,know,3.4668474197387695
part of its infrastructure to help managers run the entity and achieve their aims on an ongoing basis.,project,basis,5.5229620933532715
who is stark? asked jon.,back,jon,9.331110000610352
"if you would like a more novel, self-drive way of exploring the desert, hire a quad runner.",you,you,0.16309566795825958
they celebrate the u.s. women's comparative innocence.,.,comparative,19.367229461669922
"there we found an open door, flapping in the breeze.",in,in,0.27367115020751953
that goddamned hamster dance.,.,goddamn,16.746952056884766
"at 1,467 m (4,813 ft) it dominates the lush and rugged south of basse terre.",',lush,18.29485511779785
uh i work on my own i've got an nineteen eighty trans am that i've had uh since it was new,and,',6.790438652038574
"rock, folk, and  the royal dublin society in ballsbridge holds huge open-air concerts, including rock, folk, and jazz.",the,rock,9.284046173095703
"a legitimate businessman, hughes was nonetheless eccentric and dramatic, a style suited to the las vegas ethos.",.,and,2.6969516277313232
"...roman, that you have an enormous amount of experience in the field of telecommunications.",.,amount,9.196016311645508
so but uh denny crum ran his mouth a little bit too much,##ess,##um,7.161510467529297
this is the most easily accessible of the new territories' walled villages.,and,of,7.031957149505615
one of his arms was a hook.,",",was,2.7626171112060547
"no, i cannot say it did. ",i,",",2.286083221435547
no no they do not and you know they're just real shallow people,.,you,14.333956718444824
yeah yeah well i have we have a uh recreation center which is almost right across the street from our uh office,do,well,8.091570854187012
"this great civilization came to a sudden, catastrophic end around 1450 b.c.",',great,14.676048278808594
"'he did this happen?' natalia asked, gesturing to a window.",',asked,6.428013801574707
uh-huh so that might lead you to a biased uh decision perhaps if you were uh-huh,that,decision,7.253349304199219
